a,b,h,l,S11
12.6,13.6,5,23.5,-36.14237475
12.6,13.6,5,24,-36.84222035
12.6,13.6,5,24.5,-28.04261541
12.6,13.6,5,25,-28.85014267
12.6,13.6,5,25.5,-27.55087109
12.6,13.6,5,26,-27.37955108
12.8,13.6,5,23,-33.99936811
12.8,13.6,5,23.5,-47.37122807
12.8,13.6,5,24,-71.61409103
12.8,13.6,5,24.5,-28.31324858
12.8,13.6,5,25,-33.84081279
12.8,13.6,5,25.5,-28.45722453
12.8,13.6,5,26,-34.97370235
13,13.6,5,23,-23.4441456
13,13.6,5,23.5,-37.86322548
13,13.6,5,24,-57.5117996
13,13.6,5,24.5,-32.78936835
13,13.6,5,25,-35.20610867
13,13.6,5,25.5,-28.79671506
13,13.6,5,26,-28.81756604
13.2,13.6,5,23,-40.006133
13.2,13.6,5,23.5,-27.12766532
13.2,13.6,5,24,-40.44012546
13.2,13.6,5,24.5,-33.74382528
13.2,13.6,5,25,-31.05240142
13.2,13.6,5,25.5,-30.0290821
13.2,13.6,5,26,-28.87834828
13.4,13.6,5,23,-21.80678608
13.4,13.6,5,23.5,-30.15068688
13.4,13.6,5,24,-60.24070996
13.4,13.6,5,24.5,-31.21300441
13.4,13.6,5,25,-25.94213673
13.4,13.6,5,25.5,-29.96834574
13.4,13.6,5,26,-30.26845757
13.6,13.6,5,23,-25.8048048
13.6,13.6,5,23.5,-32.30179397
13.6,13.6,5,24,-57.54517162
13.6,13.6,5,24.5,-34.23695606
13.6,13.6,5,25,-27.56134209
13.6,13.6,5,25.5,-25.12650816
13.6,13.6,5,26,-26.8925437
13.8,13.6,5,23,-30.14890457
13.8,13.6,5,23.5,-25.56849759
13.8,13.6,5,24,-30.46787909
13.8,13.6,5,24.5,-25.74351821
13.8,13.6,5,25,-31.54718972
13.8,13.6,5,25.5,-25.3480472
13.8,13.6,5,26,-28.77929201
14,13.6,5,23,-24.50334998
14,13.6,5,23.5,-28.88159699
14,13.6,5,24,-52.50383673
14,13.6,5,24.5,-26.24523762
14,13.6,5,25,-26.19347397
14,13.6,5,25.5,-24.64172273
14,13.6,5,26,-25.03405121
12,13.8,5,23,-32.70637066
12,13.8,5,23.5,-34.625238
12,13.8,5,24,-43.30018755
12,13.8,5,24.5,-26.26957791
12,13.8,5,25,-26.82361311
12,13.8,5,25.5,-25.02478437
12,13.8,5,26,-23.53995419
12.2,13.8,5,23,-28.44287942
12.2,13.8,5,23.5,-37.3917996
12.2,13.8,5,24,-42.65085747
12.2,13.8,5,24.5,-29.90643309
12.2,13.8,5,25,-27.32839184
12.2,13.8,5,25.5,-24.90999357
12.2,13.8,5,26,-25.02872793
12.4,13.8,5,23,-35.14773864
12.4,13.8,5,23.5,-36.36223347
12.4,13.8,5,24,-40.43065335
12.4,13.8,5,24.5,-28.78277025
12.4,13.8,5,25,-28.09295954
12.4,13.8,5,25.5,-26.46620272
12.4,13.8,5,26,-32.07558787
12.6,13.8,5,23,-42.76513656
12.6,13.8,5,23.5,-46.79720949
12.6,13.8,5,24,-40.71929706
12.6,13.8,5,24.5,-28.18321407
12.6,13.8,5,25,-29.25912423
12.6,13.8,5,25.5,-32.39656909
12.6,13.8,5,26,-28.44053293
12.8,13.8,5,23,-33.04971061
12.8,13.8,5,23.5,-33.49381946
12.8,13.8,5,24,-46.8122403
12.8,13.8,5,24.5,-29.95950045
12.8,13.8,5,25,-27.0046388
12.8,13.8,5,25.5,-27.31904014
12.8,13.8,5,26,-32.20987886
13,13.8,5,23,-40.41956883
13,13.8,5,23.5,-39.21976834
13,13.8,5,24,-32.53454326
13,13.8,5,24.5,-27.39247628
13,13.8,5,25,-30.74864882
13,13.8,5,25.5,-32.37550118
13,13.8,5,26,-29.35483272
13.2,13.8,5,23,-26.18210353
13.2,13.8,5,23.5,-26.43318506
13.2,13.8,5,24,-44.91573677
13.2,13.8,5,24.5,-34.37018841
13.2,13.8,5,25,-28.21355823
13.2,13.8,5,25.5,-29.15663123
13.2,13.8,5,26,-31.48119164
13.4,13.8,5,23,-21.21163259
13.4,13.8,5,23.5,-27.22552696
13.4,13.8,5,24,-54.73298844
13.4,13.8,5,24.5,-32.10690843
13.4,13.8,5,25,-24.06364071
13.4,13.8,5,25.5,-28.32960832
13.4,13.8,5,26,-33.58469298
13.6,13.8,5,23,-30.73891338
13.6,13.8,5,23.5,-26.17957861
13.6,13.8,5,24,-40.1555545
13.6,13.8,5,24.5,-29.85058259
13.6,13.8,5,25,-29.96024226
13.6,13.8,5,25.5,-25.89515994
13.6,13.8,5,26,-25.99295117
13.8,13.8,5,23,-27.6757343
13.8,13.8,5,23.5,-25.46334789
13.8,13.8,5,24,-44.17705681
13.8,13.8,5,24.5,-25.51999528
13.8,13.8,5,25,-26.29463579
13.8,13.8,5,25.5,-24.40537109
13.8,13.8,5,26,-25.78619431
14,13.8,5,23,-24.29995565
14,13.8,5,23.5,-22.64026713
14,13.8,5,24,-44.97493651
14,13.8,5,24.5,-25.17767656
14,13.8,5,25,-24.19975773
14,13.8,5,25.5,-25.98209941
14,13.8,5,26,-28.02809969
12,14,5,23,-40.96565677
12,14,5,23.5,-27.82622999
12,14,5,24,-46.96803156
12,14,5,24.5,-27.21340412
12,14,5,25,-25.93259524
12,14,5,25.5,-25.24738722
12,14,5,26,-24.65815212
12.2,14,5,23,-30.83065205
12.2,14,5,23.5,-28.1374312
12.2,14,5,24,-35.25685078
12.2,14,5,24.5,-28.08335283
12.2,14,5,25,-26.7987763
12.2,14,5,25.5,-29.30545756
12.2,14,5,26,-24.36439603
12.4,14,5,23,-39.05777826
12.4,14,5,23.5,-53.45594799
12.4,14,5,24,-40.321418
12.4,14,5,24.5,-28.49257409
12.4,14,5,25,-34.52254492
12.4,14,5,25.5,-27.62773949
12.4,14,5,26,-30.82091217
12.6,14,5,23,-21.58377934
12.6,14,5,23.5,-41.63441012
12.6,14,5,24,-39.1585056
12.6,14,5,24.5,-29.94953122
12.6,14,5,25,-33.64234629
12.6,14,5,25.5,-28.89824824
12.6,14,5,26,-28.12156399
12.8,14,5,23,-32.33203275
12.8,14,5,23.5,-42.84060927
12.8,14,5,24,-29.40047251
12.8,14,5,24.5,-25.9305905
12.8,14,5,25,-26.5058256
12.8,14,5,25.5,-27.28281182
12.8,14,5,26,-29.49593178
13,14,5,23,-24.6009989
13,14,5,23.5,-36.57106481
13,14,5,24,-41.92124082
13,14,5,24.5,-25.92737025
13,14,5,25,-36.74006972
13,14,5,25.5,-33.54223717
13,14,5,26,-35.09203176
13.2,14,5,23,-24.37023486
13.2,14,5,23.5,-25.68956221
13.2,14,5,24,-45.49804674
13.2,14,5,24.5,-28.69443643
13.2,14,5,25,-27.20320938
13.2,14,5,25.5,-28.22751815
13.2,14,5,26,-26.36858217
13.4,14,5,23,-25.58259836
13.4,14,5,23.5,-34.39735006
13.4,14,5,24,-44.61341391
13.4,14,5,24.5,-26.62546919
13.4,14,5,25,-28.47280694
13.4,14,5,25.5,-25.16615034
13.4,14,5,26,-24.24188083
13.6,14,5,23,-23.87702347
13.6,14,5,23.5,-29.88787035
13.6,14,5,24,-42.38455998
13.6,14,5,24.5,-29.55315762
13.6,14,5,25,-26.98929385
13.6,14,5,25.5,-35.19995271
13.6,14,5,26,-25.93849573
13.8,14,5,23,-22.53496055
13.8,14,5,23.5,-27.53527267
13.8,14,5,24,-43.30220753
13.8,14,5,24.5,-23.35892164
13.8,14,5,25,-27.22657126
13.8,14,5,25.5,-25.84584954
13.8,14,5,26,-25.48901829
14,14,5,23,-21.41692429
14,14,5,23.5,-20.88725621
14,14,5,24,-51.4410205
14,14,5,24.5,-24.18880649
14,14,5,25,-24.6002779
14,14,5,25.5,-23.97835209
14,14,5,26,-24.08326598
12,12,6,23,-18.8861255
12,12,6,23.5,-19.8316462
12,12,6,24,-41.75072155
12,12,6,24.5,-25.0424902
12,12,6,25,-26.1401408
12,12,6,25.5,-24.52015142
12,12,6,26,-23.67542625
12.2,12,6,23,-21.6241953
12.2,12,6,23.5,-20.30197163
12.2,12,6,24,-41.27129001
12.2,12,6,24.5,-25.5043586
12.2,12,6,25,-24.48706832
12.2,12,6,25.5,-25.74577385
12.2,12,6,26,-24.52548588
12.4,12,6,23,-20.72457718
12.4,12,6,23.5,-28.48464502
12.4,12,6,24,-41.04483333
12.4,12,6,24.5,-25.2581009
12.4,12,6,25,-39.81696448
12.4,12,6,25.5,-29.92116422
12.4,12,6,26,-29.76662271
12.6,12,6,23,-20.47961902
12.6,12,6,23.5,-27.5754419
12.6,12,6,24,-37.84475909
12.6,12,6,24.5,-27.45416673
12.6,12,6,25,-26.94957497
12.6,12,6,25.5,-29.91257829
12.6,12,6,26,-30.61180361
12.8,12,6,23,-20.92737875
12.8,12,6,23.5,-28.14100281
12.8,12,6,24,-43.57669512
12.8,12,6,24.5,-48.47742155
12.8,12,6,25,-30.57585888
12.8,12,6,25.5,-27.59154417
12.8,12,6,26,-26.35577514
13,12,6,23,-24.48792541
13,12,6,23.5,-26.41463563
13,12,6,24,-36.50692913
13,12,6,24.5,-44.68597468
13,12,6,25,-33.67785598
13,12,6,25.5,-31.22558042
13,12,6,26,-38.94571694
13.2,12,6,23,-18.99280936
13.2,12,6,23.5,-26.49484008
13.2,12,6,24,-53.33762756
13.2,12,6,24.5,-29.3639026
13.2,12,6,25,-41.92168101
13.2,12,6,25.5,-39.73213744
13.2,12,6,26,-36.71303337
13.4,12,6,23,-26.15886755
13.4,12,6,23.5,-34.76176612
13.4,12,6,24,-48.57757096
13.4,12,6,24.5,-46.92324927
13.4,12,6,25,-44.62478752
13.4,12,6,25.5,-30.96211036
13.4,12,6,26,-36.65503257
13.6,12,6,23,-27.23302568
13.6,12,6,23.5,-26.79839689
13.6,12,6,24,-53.27963287
13.6,12,6,24.5,-41.93423211
13.6,12,6,25,-47.85488074
13.6,12,6,25.5,-40.04657795
13.6,12,6,26,-43.60365466
13.8,12,6,23,-18.9687838
13.8,12,6,23.5,-23.46617392
13.8,12,6,24,-37.6015519
13.8,12,6,24.5,-39.51417586
13.8,12,6,25,-53.85043764
13.8,12,6,25.5,-36.36970103
13.8,12,6,26,-48.73201814
14,12,6,23,-27.88587911
14,12,6,23.5,-26.77009985
14,12,6,24,-57.49896938
14,12,6,24.5,-38.67899338
14,12,6,25,-35.78611485
14,12,6,25.5,-56.69445129
14,12,6,26,-31.40203306
12,12.2,6,23,-24.17256377
12,12.2,6,23.5,-18.95674163
12,12.2,6,24,-36.51789688
12,12.2,6,24.5,-23.66610977
12,12.2,6,25,-25.06731108
12,12.2,6,25.5,-25.2565291
12,12.2,6,26,-24.62133991
12.2,12.2,6,23,-25.2693224
12.2,12.2,6,23.5,-41.23301616
12.2,12.2,6,24,-41.34402478
12.2,12.2,6,24.5,-24.67262789
12.2,12.2,6,25,-25.54557006
12.2,12.2,6,25.5,-24.68882402
12.2,12.2,6,26,-26.00702235
12.4,12.2,6,23,-24.71613468
12.4,12.2,6,23.5,-26.7086208
12.4,12.2,6,24,-33.68913067
12.4,12.2,6,24.5,-25.61655331
12.4,12.2,6,25,-26.20610789
12.4,12.2,6,25.5,-24.74925675
12.4,12.2,6,26,-24.38867713
12.6,12.2,6,23,-37.40471416
12.6,12.2,6,23.5,-29.98806349
12.6,12.2,6,24,-35.44176028
12.6,12.2,6,24.5,-28.41922888
12.6,12.2,6,25,-25.37819962
12.6,12.2,6,25.5,-34.5540874
12.6,12.2,6,26,-24.96048709
12.8,12.2,6,23,-25.85233939
12.8,12.2,6,23.5,-26.40179233
12.8,12.2,6,24,-55.23302705
12.8,12.2,6,24.5,-26.55263526
12.8,12.2,6,25,-35.41860266
12.8,12.2,6,25.5,-30.95227827
12.8,12.2,6,26,-31.71548527
13,12.2,6,23,-22.15229285
13,12.2,6,23.5,-25.09510513
13,12.2,6,24,-47.31458032
13,12.2,6,24.5,-31.80189815
13,12.2,6,25,-30.77209443
13,12.2,6,25.5,-30.7887939
13,12.2,6,26,-37.08914706
13.2,12.2,6,23,-19.11760332
13.2,12.2,6,23.5,-28.26555664
13.2,12.2,6,24,-63.05508242
13.2,12.2,6,24.5,-30.42075099
13.2,12.2,6,25,-38.77332763
13.2,12.2,6,25.5,-38.17848483
13.2,12.2,6,26,-26.21745546
13.4,12.2,6,23,-23.1654105
13.4,12.2,6,23.5,-26.94456792
13.4,12.2,6,24,-39.98062183
13.4,12.2,6,24.5,-31.3552459
13.4,12.2,6,25,-52.87795297
13.4,12.2,6,25.5,-33.07345787
13.4,12.2,6,26,-37.43057252
13.6,12.2,6,23,-28.08114827
13.6,12.2,6,23.5,-27.70149558
13.6,12.2,6,24,-42.69558206
13.6,12.2,6,24.5,-42.47889681
13.6,12.2,6,25,-33.52744134
13.6,12.2,6,25.5,-34.1968511
13.6,12.2,6,26,-33.88032219
13.8,12.2,6,23,-25.60375366
13.8,12.2,6,23.5,-27.65157838
13.8,12.2,6,24,-54.36921428
13.8,12.2,6,24.5,-34.66769126
13.8,12.2,6,25,-40.69473989
13.8,12.2,6,25.5,-34.32095124
13.8,12.2,6,26,-49.64702949
14,12.2,6,23,-22.0470637
14,12.2,6,23.5,-23.89246993
14,12.2,6,24,-41.93220105
14,12.2,6,24.5,-44.48297513
14,12.2,6,25,-37.48535331
14,12.2,6,25.5,-36.0378434
14,12.2,6,26,-54.48404133
12,12.4,6,23,-27.80273511
12,12.4,6,23.5,-17.39106134
12,12.4,6,24,-65.26694457
12,12.4,6,24.5,-15.32680017
12,12.4,6,25,-24.64215847
12,12.4,6,25.5,-29.55396545
12,12.4,6,26,-26.50962348
12.2,12.4,6,23,-24.35553596
12.2,12.4,6,23.5,-40.18455913
12.2,12.4,6,24,-47.85912143
12.2,12.4,6,24.5,-26.07160219
12.2,12.4,6,25,-25.08491142
12.2,12.4,6,25.5,-26.30867228
12.2,12.4,6,26,-25.38687266
12.4,12.4,6,23,-25.51792804
12.4,12.4,6,23.5,-31.22216914
12.4,12.4,6,24,-46.88726494
12.4,12.4,6,24.5,-26.45138847
12.4,12.4,6,25,-24.66835544
12.4,12.4,6,25.5,-26.23038083
12.4,12.4,6,26,-24.68225676
12.6,12.4,6,23,-22.12752412
12.6,12.4,6,23.5,-29.66040551
12.6,12.4,6,24,-46.7096454
12.6,12.4,6,24.5,-26.22873129
12.6,12.4,6,25,-26.3390384
12.6,12.4,6,25.5,-24.84877592
12.6,12.4,6,26,-27.18456206
12.8,12.4,6,23,-20.94376262
12.8,12.4,6,23.5,-27.33657625
12.8,12.4,6,24,-37.36719101
12.8,12.4,6,24.5,-26.72994608
12.8,12.4,6,25,-29.4049344
12.8,12.4,6,25.5,-25.40844579
12.8,12.4,6,26,-26.2724898
13,12.4,6,23,-21.70811492
13,12.4,6,23.5,-25.58743279
13,12.4,6,24,-37.84978871
13,12.4,6,24.5,-28.02454375
13,12.4,6,25,-30.49520555
13,12.4,6,25.5,-27.84931544
13,12.4,6,26,-27.34067231
13.2,12.4,6,23,-24.94064298
13.2,12.4,6,23.5,-25.20256999
13.2,12.4,6,24,-32.62476258
13.2,12.4,6,24.5,-30.13236775
13.2,12.4,6,25,-33.14398716
13.2,12.4,6,25.5,-29.10288133
13.2,12.4,6,26,-32.05842146
13.4,12.4,6,23,-24.0072556
13.4,12.4,6,23.5,-26.37776114
13.4,12.4,6,24,-49.16783986
13.4,12.4,6,24.5,-36.33523909
13.4,12.4,6,25,-28.05311259
13.4,12.4,6,25.5,-29.95515176
13.4,12.4,6,26,-34.21697485
13.6,12.4,6,23,-25.82486227
13.6,12.4,6,23.5,-26.69154605
13.6,12.4,6,24,-40.6251187
13.6,12.4,6,24.5,-30.08187227
13.6,12.4,6,25,-34.14587189
13.6,12.4,6,25.5,-29.8864482
13.6,12.4,6,26,-45.79598567
13.8,12.4,6,23,-34.32421145
13.8,12.4,6,23.5,-48.56384675
13.8,12.4,6,24,-39.27703753
13.8,12.4,6,24.5,-37.16252385
13.8,12.4,6,25,-33.1084177
13.8,12.4,6,25.5,-37.06337351
13.8,12.4,6,26,-32.1148478
14,12.4,6,23,-31.37439475
14,12.4,6,23.5,-25.93773376
14,12.4,6,24,-43.99785176
14,12.4,6,24.5,-31.27285239
14,12.4,6,25,-34.68913907
14,12.4,6,25.5,-47.8366017
14,12.4,6,26,-37.4573108
12,12.6,6,23,-23.78525454
12,12.6,6,23.5,-37.72812623
12,12.6,6,24,-43.85880877
12,12.6,6,24.5,-24.79271498
12,12.6,6,25,-23.36260469
12,12.6,6,25.5,-23.33801404
12,12.6,6,26,-25.34569816
12.2,12.6,6,23,-25.557602
12.2,12.6,6,23.5,-33.38945149
12.2,12.6,6,24,-41.37818435
12.2,12.6,6,24.5,-23.33449432
12.2,12.6,6,25,-24.87498248
12.2,12.6,6,25.5,-23.85437652
12.2,12.6,6,26,-23.56424255
12.4,12.6,6,23,-22.01992881
12.4,12.6,6,23.5,-41.86748634
12.4,12.6,6,24,-36.12529189
12.4,12.6,6,24.5,-25.15825087
12.4,12.6,6,25,-25.54431187
12.4,12.6,6,25.5,-24.59702557
12.4,12.6,6,26,-25.46720286
12.6,12.6,6,23,-28.12580081
12.6,12.6,6,23.5,-24.49753638
12.6,12.6,6,24,-47.94848056
12.6,12.6,6,24.5,-27.59112464
12.6,12.6,6,25,-24.25422591
12.6,12.6,6,25.5,-26.9159445
12.6,12.6,6,26,-26.99673617
12.8,12.6,6,23,-26.2678824
12.8,12.6,6,23.5,-24.88035085
12.8,12.6,6,24,-40.68278103
12.8,12.6,6,24.5,-25.13826285
12.8,12.6,6,25,-26.36144166
12.8,12.6,6,25.5,-24.54477822
12.8,12.6,6,26,-24.31701764
13,12.6,6,23,-23.49769701
13,12.6,6,23.5,-29.6462184
13,12.6,6,24,-52.43514432
13,12.6,6,24.5,-28.62860757
13,12.6,6,25,-24.60335094
13,12.6,6,25.5,-27.63038405
13,12.6,6,26,-26.94272533
13.2,12.6,6,23,-28.71174674
13.2,12.6,6,23.5,-32.70758447
13.2,12.6,6,24,-52.17977869
13.2,12.6,6,24.5,-29.336339
13.2,12.6,6,25,-29.45515217
13.2,12.6,6,25.5,-27.93333713
13.2,12.6,6,26,-27.13089043
13.4,12.6,6,23,-26.82728081
13.4,12.6,6,23.5,-26.91817466
13.4,12.6,6,24,-48.54537071
13.4,12.6,6,24.5,-29.13765684
13.4,12.6,6,25,-29.40776386
13.4,12.6,6,25.5,-29.76788899
13.4,12.6,6,26,-26.58389853
13.6,12.6,6,23,-27.49286536
13.6,12.6,6,23.5,-30.93136649
13.6,12.6,6,24,-40.13631514
13.6,12.6,6,24.5,-27.73282736
13.6,12.6,6,25,-32.51572177
13.6,12.6,6,25.5,-28.65090113
13.6,12.6,6,26,-33.36577155
13.8,12.6,6,23,-20.59947221
13.8,12.6,6,23.5,-43.58071647
13.8,12.6,6,24,-41.52005278
13.8,12.6,6,24.5,-32.47367753
13.8,12.6,6,25,-33.40312813
13.8,12.6,6,25.5,-27.46349201
13.8,12.6,6,26,-31.88095368
14,12.6,6,23,-26.257735
14,12.6,6,23.5,-27.61676818
14,12.6,6,24,-55.78943575
14,12.6,6,24.5,-31.68480825
14,12.6,6,25,-28.2746746
14,12.6,6,25.5,-26.20138003
14,12.6,6,26,-33.23174212
12,12.8,6,23,-25.15586873
12,12.8,6,23.5,-34.7296065
12,12.8,6,24,-45.11372704
12,12.8,6,24.5,-27.42770241
12,12.8,6,25,-23.25871115
12,12.8,6,25.5,-23.81966566
12,12.8,6,26,-24.12727526
12.2,12.8,6,23,-48.1073019
12.2,12.8,6,23.5,-35.75632534
12.2,12.8,6,24,-44.25313834
12.2,12.8,6,24.5,-22.94275473
12.2,12.8,6,25,-24.42882598
12.2,12.8,6,25.5,-25.96697036
12.2,12.8,6,26,-24.29628228
12.4,12.8,6,23,-26.24576306
12.4,12.8,6,23.5,-31.79832096
12.4,12.8,6,24,-44.63565178
12.4,12.8,6,24.5,-24.55999246
12.4,12.8,6,25,-23.77840634
12.4,12.8,6,25.5,-31.41120796
12.4,12.8,6,26,-25.17890623
12.6,12.8,6,23,-33.78660182
12.6,12.8,6,23.5,-33.36536843
12.6,12.8,6,24,-61.51936684
12.6,12.8,6,24.5,-26.69484935
12.6,12.8,6,25,-26.23627565
12.6,12.8,6,25.5,-25.1838016
12.6,12.8,6,26,-24.91463304
12.8,12.8,6,23,-25.62618748
12.8,12.8,6,23.5,-34.84857453
12.8,12.8,6,24,-42.57668494
12.8,12.8,6,24.5,-25.23792621
12.8,12.8,6,25,-28.23839658
12.8,12.8,6,25.5,-24.34951775
12.8,12.8,6,26,-26.86497069
13,12.8,6,23,-58.24233596
13,12.8,6,23.5,-33.49466638
13,12.8,6,24,-42.00759627
13,12.8,6,24.5,-28.26860384
13,12.8,6,25,-28.14622958
13,12.8,6,25.5,-27.93327122
13,12.8,6,26,-25.87368576
13.2,12.8,6,23,-25.80970721
13.2,12.8,6,23.5,-32.5164482
13.2,12.8,6,24,-41.69422821
13.2,12.8,6,24.5,-25.90567573
13.2,12.8,6,25,-30.98958968
13.2,12.8,6,25.5,-26.27402322
13.2,12.8,6,26,-26.48795789
13.4,12.8,6,23,-30.01686364
13.4,12.8,6,23.5,-43.30904474
13.4,12.8,6,24,-55.1702439
13.4,12.8,6,24.5,-28.40853105
13.4,12.8,6,25,-28.07346441
13.4,12.8,6,25.5,-31.03607807
13.4,12.8,6,26,-26.6025322
13.6,12.8,6,23,-43.11096315
13.6,12.8,6,23.5,-44.29177153
13.6,12.8,6,24,-59.40998491
13.6,12.8,6,24.5,-31.61406993
13.6,12.8,6,25,-28.09730835
13.6,12.8,6,25.5,-31.28130998
13.6,12.8,6,26,-28.32444655
13.8,12.8,6,23,-35.17116025
13.8,12.8,6,23.5,-38.92716736
13.8,12.8,6,24,-46.16804133
13.8,12.8,6,24.5,-33.17514066
13.8,12.8,6,25,-31.46135662
13.8,12.8,6,25.5,-27.24615421
13.8,12.8,6,26,-28.07846186
14,12.8,6,23,-37.02398081
14,12.8,6,23.5,-20.46961306
14,12.8,6,24,-44.31898321
14,12.8,6,24.5,-29.76722619
14,12.8,6,25,-26.79771639
14,12.8,6,25.5,-26.19045693
14,12.8,6,26,-29.10599034
12,13,6,23,-26.85364599
12,13,6,23.5,-49.80996976
12,13,6,24,-61.17687301
12,13,6,24.5,-22.8319919
12,13,6,25,-25.29739183
12,13,6,25.5,-23.78260397
12,13,6,26,-23.80158877
12.2,13,6,23,-31.18017008
12.2,13,6,23.5,-33.97678181
12.2,13,6,24,-40.81372535
12.2,13,6,24.5,-23.49682905
12.2,13,6,25,-23.96185924
12.2,13,6,25.5,-23.35134226
12.2,13,6,26,-23.96151299
12.4,13,6,23,-38.2116743
12.4,13,6,23.5,-33.33894302
12.4,13,6,24,-38.96175789
12.4,13,6,24.5,-24.46673117
12.4,13,6,25,-24.12516304
12.4,13,6,25.5,-24.01736235
12.4,13,6,26,-23.76263796
12.6,13,6,23,-29.72704449
12.6,13,6,23.5,-43.66328374
12.6,13,6,24,-40.1344789
12.6,13,6,24.5,-25.10414718
12.6,13,6,25,-25.28323381
12.6,13,6,25.5,-25.02843357
12.6,13,6,26,-25.04854843
12.8,13,6,23,-24.85292808
12.8,13,6,23.5,-34.03510966
12.8,13,6,24,-42.72095287
12.8,13,6,24.5,-24.98472878
12.8,13,6,25,-32.96874346
12.8,13,6,25.5,-24.84826191
12.8,13,6,26,-26.30771698
13,13,6,23,-30.62882045
13,13,6,23.5,-36.7189571
13,13,6,24,-43.31237592
13,13,6,24.5,-27.28147089
13,13,6,25,-27.49292582
13,13,6,25.5,-24.94218698
13,13,6,26,-25.80343928
13.2,13,6,23,-27.72715185
13.2,13,6,23.5,-36.85851055
13.2,13,6,24,-43.6996818
13.2,13,6,24.5,-32.53169739
13.2,13,6,25,-28.58048973
13.2,13,6,25.5,-27.11969191
13.2,13,6,26,-25.45390896
13.4,13,6,23,-34.98190041
13.4,13,6,23.5,-32.50782882
13.4,13,6,24,-43.18100726
13.4,13,6,24.5,-28.42679558
13.4,13,6,25,-26.37452052
13.4,13,6,25.5,-28.21033827
13.4,13,6,26,-25.09638998
13.6,13,6,23,-31.15078882
13.6,13,6,23.5,-38.82976789
13.6,13,6,24,-54.8967851
13.6,13,6,24.5,-27.60496931
13.6,13,6,25,-28.87937851
13.6,13,6,25.5,-27.9449009
13.6,13,6,26,-30.49771649
13.8,13,6,23,-30.9547925
13.8,13,6,23.5,-48.40732867
13.8,13,6,24,-39.70574816
13.8,13,6,24.5,-24.75125847
13.8,13,6,25,-29.28052888
13.8,13,6,25.5,-31.40719203
13.8,13,6,26,-27.77778675
14,13,6,23,-37.71920239
14,13,6,23.5,-35.88383478
14,13,6,24,-53.29697151
14,13,6,24.5,-30.14683936
14,13,6,25,-28.55427077
14,13,6,25.5,-28.57848256
14,13,6,26,-28.74205663
12,13.2,6,23,-34.26648335
12,13.2,6,23.5,-30.50438403
12,13.2,6,24,-37.57439377
12,13.2,6,24.5,-23.0811302
12,13.2,6,25,-23.62580441
12,13.2,6,25.5,-22.42021598
12,13.2,6,26,-24.24569502
12.2,13.2,6,23,-27.23460507
12.2,13.2,6,23.5,-44.23848742
12.2,13.2,6,24,-33.82823974
12.2,13.2,6,24.5,-23.32482266
12.2,13.2,6,25,-23.39605686
12.2,13.2,6,25.5,-22.34470026
12.2,13.2,6,26,-23.29993388
12.4,13.2,6,23,-42.4545419
12.4,13.2,6,23.5,-34.88693246
12.4,13.2,6,24,-34.38604353
12.4,13.2,6,24.5,-24.02176286
12.4,13.2,6,25,-23.35381103
12.4,13.2,6,25.5,-23.80516092
12.4,13.2,6,26,-22.78793124
12.6,13.2,6,23,-36.87779636
12.6,13.2,6,23.5,-30.3366546
12.6,13.2,6,24,-41.18325311
12.6,13.2,6,24.5,-24.6816368
12.6,13.2,6,25,-24.90190525
12.6,13.2,6,25.5,-24.20726936
12.6,13.2,6,26,-23.75512414
12.8,13.2,6,23,-36.28201044
12.8,13.2,6,23.5,-43.14593534
12.8,13.2,6,24,-40.4758595
12.8,13.2,6,24.5,-25.65829311
12.8,13.2,6,25,-30.81376644
12.8,13.2,6,25.5,-25.2068271
12.8,13.2,6,26,-25.97602995
13,13.2,6,23,-41.97433764
13,13.2,6,23.5,-33.13431248
13,13.2,6,24,-43.75701303
13,13.2,6,24.5,-28.75647902
13,13.2,6,25,-27.13474776
13,13.2,6,25.5,-25.89778409
13,13.2,6,26,-28.97581877
13.2,13.2,6,23,-33.48488512
13.2,13.2,6,23.5,-46.04959418
13.2,13.2,6,24,-38.46044857
13.2,13.2,6,24.5,-28.96730589
13.2,13.2,6,25,-24.67388423
13.2,13.2,6,25.5,-29.83685139
13.2,13.2,6,26,-27.92325785
13.4,13.2,6,23,-33.34685287
13.4,13.2,6,23.5,-33.86184771
13.4,13.2,6,24,-45.66540087
13.4,13.2,6,24.5,-27.17514288
13.4,13.2,6,25,-24.24923179
13.4,13.2,6,25.5,-30.01514094
13.4,13.2,6,26,-27.34504349
13.6,13.2,6,23,-36.23425638
13.6,13.2,6,23.5,-34.24052578
13.6,13.2,6,24,-45.07104532
13.6,13.2,6,24.5,-27.75773658
13.6,13.2,6,25,-27.81597986
13.6,13.2,6,25.5,-28.24428005
13.6,13.2,6,26,-25.57769126
13.8,13.2,6,23,-36.02814138
13.8,13.2,6,23.5,-45.2125054
13.8,13.2,6,24,-56.81125241
13.8,13.2,6,24.5,-25.19753265
13.8,13.2,6,25,-27.32280642
13.8,13.2,6,25.5,-28.63671633
13.8,13.2,6,26,-30.55073208
14,13.2,6,23,-48.6051641
14,13.2,6,23.5,-32.93727719
14,13.2,6,24,-56.64803239
14,13.2,6,24.5,-27.41392124
14,13.2,6,25,-25.90037939
14,13.2,6,25.5,-30.9014672
14,13.2,6,26,-29.26309672
