a,b,h,l,S11
12.8,12.6,4,25.5,-34.72925173
12.8,12.6,4,26,-34.84527884
13,12.6,4,23,-19.71478251
13,12.6,4,23.5,-47.89991726
13,12.6,4,24,-55.11521328
13,12.6,4,24.5,-36.9490405
13,12.6,4,25,-58.05108523
13,12.6,4,25.5,-56.09426806
13,12.6,4,26,-40.1205648
13.2,12.6,4,23,-27.71276562
13.2,12.6,4,23.5,-24.49397116
13.2,12.6,4,24,-32.71457418
13.2,12.6,4,24.5,-34.4717881
13.2,12.6,4,25,-30.32744377
13.2,12.6,4,25.5,-37.75381165
13.2,12.6,4,26,-44.7768702
13.4,12.6,4,23,-25.71821033
13.4,12.6,4,23.5,-34.01642706
13.4,12.6,4,24,-44.30347604
13.4,12.6,4,24.5,-46.65802101
13.4,12.6,4,25,-34.51816089
13.4,12.6,4,25.5,-31.08758257
13.4,12.6,4,26,-32.6220241
13.6,12.6,4,23,-24.19967195
13.6,12.6,4,23.5,-27.770671
13.6,12.6,4,24,-35.19879094
13.6,12.6,4,24.5,-30.60355938
13.6,12.6,4,25,-37.91161548
13.6,12.6,4,25.5,-31.0982171
13.6,12.6,4,26,-32.00156426
13.8,12.6,4,23,-26.22629408
13.8,12.6,4,23.5,-26.51818623
13.8,12.6,4,24,-36.30258281
13.8,12.6,4,24.5,-36.33419199
13.8,12.6,4,25,-34.81551622
13.8,12.6,4,25.5,-31.68682709
13.8,12.6,4,26,-33.47061458
14,12.6,4,23,-22.9581319
14,12.6,4,23.5,-19.55340845
14,12.6,4,24,-29.46353081
14,12.6,4,24.5,-40.86462423
14,12.6,4,25,-37.80758087
14,12.6,4,25.5,-34.20153228
14,12.6,4,26,-31.26181515
12,12.8,4,23,-26.93292173
12,12.8,4,23.5,-36.89268967
12,12.8,4,24,-32.781965
12,12.8,4,24.5,-31.58577917
12,12.8,4,25,-36.62652225
12,12.8,4,25.5,-31.99790341
12,12.8,4,26,-60.04703966
12.2,12.8,4,23,-34.68300719
