d,H,k,p,S11
5,21,5.1,14,-23.12135732
6,21,5.1,14,-22.19349343
7,21,5.1,14,-22.94663685
8,21,5.1,14,-22.48920697
3,22,5.1,14,-28.6812906
4,22,5.1,14,-33.29114503
5,22,5.1,14,-38.11421142
6,22,5.1,14,-40.29348904
7,22,5.1,14,-49.05775731
8,22,5.1,14,-38.39649944
3,23,5.1,14,-41.5973502
4,23,5.1,14,-30.4130536
5,23,5.1,14,-27.35898549
6,23,5.1,14,-24.81118762
7,23,5.1,14,-23.30763098
8,23,5.1,14,-24.32128331
3,24,5.1,14,-27.10496715
4,24,5.1,14,-23.29641627
5,24,5.1,14,-21.26377336
6,24,5.1,14,-18.4710397
7,24,5.1,14,-18.79037289
8,24,5.1,14,-18.17193093
3,18,5.1,14.5,-16.40999157
4,18,5.1,14.5,-17.70549146
5,18,5.1,14.5,-17.02069063
6,18,5.1,14.5,-15.86437929
7,18,5.1,14.5,-15.61901192
8,18,5.1,14.5,-14.93700617
3,19,5.1,14.5,-41.82382921
4,19,5.1,14.5,-26.55743552
5,19,5.1,14.5,-30.4493482
6,19,5.1,14.5,-22.41905355
7,19,5.1,14.5,-22.37676641
8,19,5.1,14.5,-23.4209352
3,20,5.1,14.5,-29.38558271
4,20,5.1,14.5,-41.40255908
5,20,5.1,14.5,-37.96587732
6,20,5.1,14.5,-23.36529441
7,20,5.1,14.5,-18.77684184
8,20,5.1,14.5,-23.61056861
3,21,5.1,14.5,-42.93179642
4,21,5.1,14.5,-34.83829752
5,21,5.1,14.5,-27.82416697
6,21,5.1,14.5,-18.3811149
7,21,5.1,14.5,-20.09470907
8,21,5.1,14.5,-30.34353852
3,22,5.1,14.5,-23.53264824
4,22,5.1,14.5,-22.77305292
5,22,5.1,14.5,-21.66405801
6,22,5.1,14.5,-25.97779449
7,22,5.1,14.5,-23.09750739
8,22,5.1,14.5,-23.13582844
3,23,5.1,14.5,-25.46275423
4,23,5.1,14.5,-29.10331437
5,23,5.1,14.5,-34.96374337
6,23,5.1,14.5,-48.49718404
7,23,5.1,14.5,-43.83949954
8,23,5.1,14.5,-40.40053837
3,24,5.1,14.5,-60.70873338
4,24,5.1,14.5,-39.65428464
5,24,5.1,14.5,-28.93655874
6,24,5.1,14.5,-27.02629274
7,24,5.1,14.5,-23.83724265
8,24,5.1,14.5,-24.71600462
3,18,5.1,15,-11.83502056
4,18,5.1,15,-12.39972668
5,18,5.1,15,-12.12703007
6,18,5.1,15,-13.17474317
7,18,5.1,15,-12.93835723
8,18,5.1,15,-12.03564398
3,19,5.1,15,-24.09843578
4,19,5.1,15,-22.81959491
5,19,5.1,15,-21.99365969
6,19,5.1,15,-19.67124908
7,19,5.1,15,-15.37357919
8,19,5.1,15,-18.80916805
3,20,5.1,15,-29.49969424
4,20,5.1,15,-44.92422325
5,20,5.1,15,-28.72382456
6,20,5.1,15,-34.71747105
7,20,5.1,15,-30.97845595
8,20,5.1,15,-28.55626293
3,21,5.1,15,-36.74393241
4,21,5.1,15,-25.91626117
5,21,5.1,15,-35.88898866
6,21,5.1,15,-25.05421758
7,21,5.1,15,-25.44782049
8,21,5.1,15,-32.7914186
3,22,5.1,15,-26.98612422
4,22,5.1,15,-28.27178768
5,22,5.1,15,-28.79548814
6,22,5.1,15,-29.25816348
7,22,5.1,15,-21.51674238
8,22,5.1,15,-22.86496033
3,23,5.1,15,-22.0091899
4,23,5.1,15,-20.14907335
5,23,5.1,15,-21.96867842
6,23,5.1,15,-22.24916449
7,23,5.1,15,-23.83596207
8,23,5.1,15,-26.41744667
3,24,5.1,15,-23.56335726
4,24,5.1,15,-26.82310315
5,24,5.1,15,-30.94959905
6,24,5.1,15,-35.1105025
7,24,5.1,15,-50.51436087
8,24,5.1,15,-51.25536801
3,18,5.2,12,-13.5755102
4,18,5.2,12,-14.23141973
5,18,5.2,12,-14.35724207
6,18,5.2,12,-14.55214289
7,18,5.2,12,-14.89239633
8,18,5.2,12,-15.14838121
3,19,5.2,12,-16.92420007
4,19,5.2,12,-17.94552403
5,19,5.2,12,-18.29538979
6,19,5.2,12,-18.8702842
7,19,5.2,12,-18.77572676
8,19,5.2,12,-19.10087146
3,20,5.2,12,-21.66799668
4,20,5.2,12,-23.09965759
5,20,5.2,12,-23.52406163
6,20,5.2,12,-24.29913779
7,20,5.2,12,-25.34352759
8,20,5.2,12,-24.28510045
3,21,5.2,12,-26.13176564
4,21,5.2,12,-27.37697984
5,21,5.2,12,-28.28746123
6,21,5.2,12,-28.85814915
7,21,5.2,12,-31.96985134
8,21,5.2,12,-30.09857838
3,22,5.2,12,-30.31522823
4,22,5.2,12,-32.69883791
5,22,5.2,12,-31.33389006
6,22,5.2,12,-41.50897343
7,22,5.2,12,-33.07625089
8,22,5.2,12,-37.78905999
3,23,5.2,12,-30.59651166
4,23,5.2,12,-36.55038852
5,23,5.2,12,-34.75557562
6,23,5.2,12,-38.73391693
7,23,5.2,12,-37.25486
8,23,5.2,12,-35.72431166
3,24,5.2,12,-28.8638063
4,24,5.2,12,-33.24851793
5,24,5.2,12,-34.39875349
6,24,5.2,12,-33.68749796
7,24,5.2,12,-38.35654771
8,24,5.2,12,-43.22438584
3,18,5.2,12.5,-10.03688613
4,18,5.2,12.5,-10.52214426
5,18,5.2,12.5,-10.89747601
6,18,5.2,12.5,-10.92994483
7,18,5.2,12.5,-11.14789118
8,18,5.2,12.5,-11.00122146
3,19,5.2,12.5,-13.04852234
4,19,5.2,12.5,-13.60213122
5,19,5.2,12.5,-14.13288315
6,19,5.2,12.5,-14.42229232
7,19,5.2,12.5,-14.26618954
8,19,5.2,12.5,-14.67240618
3,20,5.2,12.5,-16.93477046
4,20,5.2,12.5,-17.17694211
5,20,5.2,12.5,-17.519536
6,20,5.2,12.5,-18.53702584
7,20,5.2,12.5,-18.38847753
8,20,5.2,12.5,-18.48592305
3,21,5.2,12.5,-19.88414646
4,21,5.2,12.5,-21.91943287
5,21,5.2,12.5,-22.62137284
6,21,5.2,12.5,-22.16734132
7,21,5.2,12.5,-23.32460556
8,21,5.2,12.5,-23.28009817
3,22,5.2,12.5,-22.50538846
4,22,5.2,12.5,-24.79505845
5,22,5.2,12.5,-25.55467089
6,22,5.2,12.5,-25.54580913
7,22,5.2,12.5,-27.14103409
8,22,5.2,12.5,-27.96011114
3,23,5.2,12.5,-24.44044283
4,23,5.2,12.5,-26.05872779
5,23,5.2,12.5,-27.95774558
6,23,5.2,12.5,-29.75758675
7,23,5.2,12.5,-31.11758651
8,23,5.2,12.5,-33.4003153
3,24,5.2,12.5,-25.84310097
4,24,5.2,12.5,-27.97624663
5,24,5.2,12.5,-30.8520023
6,24,5.2,12.5,-31.76161861
7,24,5.2,12.5,-34.8057896
8,24,5.2,12.5,-34.95197853
3,18,5.2,13,-6.879061715
4,18,5.2,13,-7.46133146
5,18,5.2,13,-7.729921772
6,18,5.2,13,-7.855314718
7,18,5.2,13,-8.073240266
8,18,5.2,13,-7.928260908
3,19,5.2,13,-9.340187757
4,19,5.2,13,-9.874970132
5,19,5.2,13,-10.17782467
6,19,5.2,13,-10.35901445
7,19,5.2,13,-10.65705825
8,19,5.2,13,-10.6498459
3,20,5.2,13,-12.27748655
4,20,5.2,13,-12.91971674
5,20,5.2,13,-13.21033251
6,20,5.2,13,-13.55142176
7,20,5.2,13,-13.76104917
8,20,5.2,13,-13.85877661
3,21,5.2,13,-15.01814598
4,21,5.2,13,-15.6651701
5,21,5.2,13,-16.6605088
6,21,5.2,13,-16.63167231
7,21,5.2,13,-17.37069993
8,21,5.2,13,-17.28163558
3,22,5.2,13,-17.53493536
4,22,5.2,13,-18.44642822
5,22,5.2,13,-19.72685788
6,22,5.2,13,-18.99969037
7,22,5.2,13,-20.60450989
8,22,5.2,13,-20.49762008
3,23,5.2,13,-19.26266683
4,23,5.2,13,-20.73836609
5,23,5.2,13,-21.9175047
6,23,5.2,13,-22.27413377
7,23,5.2,13,-23.74807193
8,23,5.2,13,-24.22493332
3,24,5.2,13,-20.99907646
4,24,5.2,13,-23.08210154
5,24,5.2,13,-24.00293131
6,24,5.2,13,-25.92064327
7,24,5.2,13,-26.72212817
8,24,5.2,13,-27.74303555
3,18,5.2,13.5,-33.2609146
4,18,5.2,13.5,-28.46430361
5,18,5.2,13.5,-24.65203877
6,18,5.2,13.5,-23.29770606
7,18,5.2,13.5,-19.61538657
8,18,5.2,13.5,-18.18217682
3,19,5.2,13.5,-48.44730533
4,19,5.2,13.5,-31.76342809
5,19,5.2,13.5,-29.63027849
6,19,5.2,13.5,-23.46076909
7,19,5.2,13.5,-24.78156296
8,19,5.2,13.5,-21.57531809
3,20,5.2,13.5,-24.56964201
4,20,5.2,13.5,-22.44157322
5,20,5.2,13.5,-21.32889366
6,20,5.2,13.5,-20.29574678
7,20,5.2,13.5,-21.3599391
8,20,5.2,13.5,-20.23142578
3,21,5.2,13.5,-30.75724503
4,21,5.2,13.5,-34.9075202
5,21,5.2,13.5,-53.30480114
6,21,5.2,13.5,-65.20756442
7,21,5.2,13.5,-42.57147571
8,21,5.2,13.5,-45.56986461
3,22,5.2,13.5,-30.87314039
4,22,5.2,13.5,-26.49210026
5,22,5.2,13.5,-23.76296275
6,22,5.2,13.5,-23.99159308
7,22,5.2,13.5,-24.10517098
8,22,5.2,13.5,-23.42988365
3,23,5.2,13.5,-22.98222103
4,23,5.2,13.5,-21.6249433
5,23,5.2,13.5,-20.21415282
6,23,5.2,13.5,-19.46011033
7,23,5.2,13.5,-17.26724911
8,23,5.2,13.5,-18.25281301
3,24,5.2,13.5,-19.01813146
4,24,5.2,13.5,-18.91215587
5,24,5.2,13.5,-17.66212943
6,24,5.2,13.5,-16.86500685
7,24,5.2,13.5,-16.1938795
8,24,5.2,13.5,-16.15019734
3,18,5.2,14,-22.48466425
4,18,5.2,14,-21.53172824
5,18,5.2,14,-19.0008263
6,18,5.2,14,-18.92901281
7,18,5.2,14,-18.68836884
8,18,5.2,14,-18.32947388
3,19,5.2,14,-39.68176392
4,19,5.2,14,-22.87858782
5,19,5.2,14,-30.66113274
6,19,5.2,14,-25.44725786
7,19,5.2,14,-26.98098124
8,19,5.2,14,-23.92714865
3,20,5.2,14,-41.63150513
4,20,5.2,14,-31.71992915
5,20,5.2,14,-26.41633224
6,20,5.2,14,-25.70664532
7,20,5.2,14,-19.0536745
8,20,5.2,14,-19.06019375
3,21,5.2,14,-23.08621153
4,21,5.2,14,-22.07574052
5,21,5.2,14,-21.95444262
6,21,5.2,14,-21.21274332
7,21,5.2,14,-21.92816302
8,21,5.2,14,-22.74329587
3,22,5.2,14,-26.28615405
4,22,5.2,14,-34.16077763
5,22,5.2,14,-32.73292092
6,22,5.2,14,-53.82505028
7,22,5.2,14,-44.15487668
8,22,5.2,14,-34.20322245
3,23,5.2,14,-43.68884369
4,23,5.2,14,-29.83203266
5,23,5.2,14,-26.43412434
6,23,5.2,14,-25.33279796
7,23,5.2,14,-24.32456243
8,23,5.2,14,-23.74726482
3,24,5.2,14,-26.65168506
4,24,5.2,14,-22.81872672
5,24,5.2,14,-20.95085963
6,24,5.2,14,-20.26910421
7,24,5.2,14,-19.98516562
8,24,5.2,14,-19.4557666
3,18,5.2,14.5,-15.14266608
4,18,5.2,14.5,-15.55109966
5,18,5.2,14.5,-16.31027127
6,18,5.2,14.5,-15.33203295
7,18,5.2,14.5,-14.84552442
8,18,5.2,14.5,-14.4224383
3,19,5.2,14.5,-31.97462182
4,19,5.2,14.5,-28.66876712
5,19,5.2,14.5,-21.9238195
6,19,5.2,14.5,-24.78058878
7,19,5.2,14.5,-21.61715428
8,19,5.2,14.5,-21.3280099
3,20,5.2,14.5,-39.28269701
4,20,5.2,14.5,-38.76225317
5,20,5.2,14.5,-36.78342301
6,20,5.2,14.5,-31.42908356
